O2_LEVEL,MO2,OXY,PROT,LACT,O2_LEVEL,MO2,OXY,PROT,LACT
1.7317792659,2.7978728654,1.9061645423,78.3486238532,9.8703139013,R6,7.4396992734,1.1903881808,51.2155963303,7.654529148
1.7317792659,3.540365549,1.4990787949,76.1009174312,15.057264574,R6,6.3599412887,1.0997103129,54.4266055046,5.9423318386
1.7317792659,3.3511481723,1.6032618772,86.6972477064,18.5823766816,R6,7.8860881909,0.9357184241,51.6972477064,6.7480717489
1.7317792659,2.7022526321,1.6051911935,91.995412844,17.0716143498,R6,7.48581033,1.1614484357,50.4128440367,5.489103139
1.7317792659,3.4713447467,1.5704634994,58.9220183486,18.1795067265,R6,6.1541456285,1.0534067207,54.9082568807,5.740896861
1.7317792659,2.8056752931,1.5820393975,89.9082568807,16.0644394619,R6,6.9865446665,1.1305793743,54.9082568807,9.0142152466
4.220835712,3.3722407029,1.1296668598,61.5895278167,15.9133632287,R12,5.5012603548,0.7215643105,54.4266055046,5.5394618834
4.220835712,3.5864738527,1.1277358053,77.461430575,11.5321524664,R12,5.1136529578,0.8469698725,37.7293577982,5.8416143498
4.220835712,3.7508604435,1.440566628,71.123853211,18.4313004484,R12,4.6563869277,0.5845828505,41.4220183486,5.1365919283
4.220835712,3.9675133817,0.9346303592,66.6619915849,5.2876681614,R12,5.3319656043,0.883626883,32.9128440367,5.6905381166
4.220835712,3.234404772,0.8419397451,60.8486238532,10.4746188341,R12,5.1004795306,0.9743047509,54.9082568807,6.7984304933
4.220835712,3.4551753987,1.1412531866,71.734455353,7.6041704036,R12,4.0221425944,0.889414832,54.9082568807,5.3380269058
7.6578019347,5.3148832278,1.0620799537,59.2987377279,5.4387443946,Control,5.4112095437,0.8122421784,61.9724770642,5.740896861
7.6578019347,5.4804109586,1.2609785632,55.6989247312,9.4170852018,Control,7.1671852911,0.9530822711,50.252293578,7.7048878924
7.6578019347,4.5545043906,0.7473180765,53.5717625058,6.5969955157,Control,5.3311730744,0.9646581692,48.004587156,5.489103139
7.6578019347,5.6975386602,0.9056645423,57.4988312295,5.5898206278,Control,4.9511505747,0.9762340672,40.4587155963,6.1437668161
7.6578019347,4.2765030337,0.7376628042,71.123853211,5.8919730942,Control,5.3618179624,0.8662630359,45.2752293578,7.2516591928
7.6578019347,4.4556835544,0.8535260718,49.3174380552,5.0862331839,Control,5.1480149579,0.9665874855,41.4220183486,6.3955605381
12.0197889708,6.1602587957,0.9867688297,48.1720430108,6.3452017937,H12,2.6212145036,1.4990787949,81.0779816514,20.3952914798
12.0197889708,4.9887713046,1.1393221321,70.4254324451,5.5898206278,H12,2.6187926665,1.6514947856,80.9174311927,21.6542600897
12.0197889708,5.6204677578,1.1354600232,50.4128440367,5.0862331839,H12,2.7601908282,1.4662804171,71.123853211,6.7480717489
12.0197889708,6.0405499062,0.9886998841,63.2258064516,5.3883856502,H12,2.8587681152,1.8058400927,86.0550458716,6.7984304933
12.0197889708,4.0314501661,0.8284223638,47.1902758298,5.3883856502,H12,3.0396375642,1.7170915411,86.6972477064,22.8125112108
12.0197889708,4.2886249449,1.3787728853,56.1898083216,5.2876681614,H12,2.6832581478,1.9119524913,97.2935779817,6.8991479821
21.116,5.5815747291,1.1779432213,55.6989247312,5.1365919283,H12+R6,7.7430830037,0.9280011587,48.004587156,5.0862331839
21.116,5.4424290061,1.0659420626,64.371201496,5.489103139,H12+R6,9.523343488,0.7234936269,50.5733944954,10.1724663677
21.116,5.4789588998,0.9944930475,64.0439457691,5.9423318386,H12+R6,7.860171317,0.9607995365,60.2064220183,5.992690583
21.116,4.99281884,1.2493922364,63.0621785881,5.5898206278,H12+R6,7.7501470939,0.6694727694,60.0458715596,5.3883856502
21.116,4.873808652,1.1122873696,53.0808789154,6.0430493274,H12+R6,9.3660951301,0.8257473928,58.2798165138,5.9423318386
21.116,5.379308321,0.5889716107,36.3908368396,5.3883856502,H12+R6,6.9336954964,0.8180301275,55.06894728,6.8991479821
,,,,,H12+R12,6.3752546591,0.7157763615,50.252293578,6.1437668161
,,,,,H12+R12,6.4492560692,0.7948783314,48.004587156,5.8416143498
,,,,,H12+R12,3.5885480928,0.7061297798,40.4587155963,6.0934080717
,,,,,H12+R12,6.0031442922,0.9511529548,61.9724770642,5.6905381166
,,,,,H12+R12,6.5821670488,1.0726998841,60.8486238532,5.489103139
,,,,,H12+R12,6.1692063363,1.0456894554,54.5871559633,5.6905381166
