saturacion,mo2
0,0
0,0
0,0
0,0
0,0
0,0
8.2012657031,45.4181059302
8.2012657031,57.4710522134
8.2012657031,54.3994705972
8.2012657031,43.8658946274
8.2012657031,56.3506317161
8.2012657031,45.5447633955
19.9888033341,54.7418674242
19.9888033341,58.2195321923
19.9888033341,60.8880335687
19.9888033341,64.4049789669
19.9888033341,52.5043651456
19.9888033341,56.0881533272
36.2654003347,86.2769471871
36.2654003347,88.9639727862
36.2654003347,73.9336534651
36.2654003347,92.4886250586
36.2654003347,69.4208340186
36.2654003347,72.3294865065
56.9226604036,100
56.9226604036,80.9831448653
56.9226604036,91.2375266073
56.9226604036,98.0567555115
56.9226604036,65.4428701745
56.9226604036,69.6176100243
100,90.6061727951
100,88.347408552
100,88.940401394
100,81.0488488479
100,79.1169464396
100,87.3227651538
